Title,Type,Artist,
25 Or 6 To 4,Cover,Chicago,
46 Days,Cover,Phish,
A Little More,Original,LoveDeep,
Acadian Driftwood,Cover,The Band,
Acdc Bag,Cover,Phish,
Acid,Improv,LoveDeep,
Across The Great Divide,Cover,The Band,
After Midnight,Cover,Eric Clapton,
Again,Improv,LoveDeep,
Ain't No Woman,Cover,The Four Tops,
Alabama Getaway,Cover,Grateful Dead,
All Along The Watchtower,Cover,Bob Dylan,
All I Wanna Do,Cover,Sheryl Crow,
All My Favorite People,Cover,Maren Morris,
Alma's Fat Mama,Original,LoveDeep,
Althea,Cover,Grateful Dead,
American Girl,Cover,Tom Petty,
American Pie,Cover,Don McLean,
And We Bid You Goodnight,Cover,Grateful Dead,
Angels Like You,Cover,Miley Cyrus,
29-Apr-92,Cover,Sublime,
Army Of One,Cover,Phish,
Atlantic City,Cover,The Band,
Atlantis,Cover,Donovan,
Atoms In Pursuit,Original,LoveDeep,
Autumn Leaves,Cover,Traditional,
Baba O'riley,Cover,The Who,
Back In Black,Cover,AC/DC,
Back On The Train,Cover,Phish,
Back To Black,Cover,Amy Winehouse,
Balloons,Improv,LoveDeep,
Bass Solo,Improv,LoveDeep,
Beast Of Burden,Cover,The Rolling Stones,
Beat It On Down The Line,Cover,Grateful Dead,
Been A While,Original,LoveDeep,
Bertha,Cover,Grateful Dead,
Big Railroad Blues,Cover,Grateful Dead,
Big River,Cover,Grateful Dead,
Bird Song,Cover,Grateful Dead,
Black Throated Wind,Cover,Grateful Dead,
Blues,Improv,LoveDeep,
Blues Medley,Cover,Traditional,
Bongo Bong,Cover,Manu Chao,
Bony Maronie,Cover,Larry Williams,
Bottle Of Wine,Original,LoveDeep,
Breathe,Cover,Pink Floyd,
Bring It On Home,Cover,Led Zeppelin,
Brizel Song,Original,LoveDeep,
Brokedown Palace,Cover,Grateful Dead,
Brown Eyed Women,Cover,Grateful Dead,
Built To Last,Cover,Grateful Dead,
Can You Get To That,Cover,Funkadelic,
Candyman,Cover,Grateful Dead,
Cassidy,Cover,Grateful Dead,
Catfish John,Cover,Jerry Garcia Band,
Chalkdust Torture,Cover,Phish,
Chameleon,Cover,Herbie Hancock,
Character Zero,Cover,Phish,
Chatter,Improv,LoveDeep,
Chest Fever,Cover,The Band,
China Cat Sunflower,Cover,Grateful Dead,
Chinatown Shuffle,Cover,Grateful Dead,
Christmas Must Be Tonight,Cover,The Band,
Cissy Strut,Cover,The Meters,
Cities,Cover,Talking Heads,
Cold Beer,Cover,Jesse Stewart,
Cold Rain And Snow,Cover,Grateful Dead,
Cold Shot,Cover,Stevie Ray Vaughan,
Colors,Cover,Black Pumas,
Cool It Down,Cover,Velvet Underground,
Crazy Rap,Cover,Afroman,
Crosseyed And Painless,Cover,Talking Heads,
Crossroads,Cover,Cream,
Cumberland Blues,Cover,Grateful Dead,
Curiosity,Original,LoveDeep,
Curtis Loew,Cover,Lynyrd Skynyd,
Dancin In The Moonlight,Cover,King Harvest,
Dancin In The Street,Cover,Grateful Dead,
Dark Star,Cover,Grateful Dead,
Dave And Chris,Improv,LoveDeep,
Deal,Cover,Grateful Dead,
Dear Mr. Fantasy,Cover,Traffic,
Descent (dah Dah Dah),Original,LoveDeep,
Dire Wolf,Cover,Grateful Dead,
Disappear Into Delirium,Original,LoveDeep,
Dixie Chicken,Cover,Little Feat,
Dock Of The Bay,Cover,Otis Redding,
Don't Do It,Cover,The Band,
Don't Ease Me In,Cover,Grateful Dead,
Don't Let Go,Cover,Jerry Garcia Band,
Don't Stop Til You Get Enough,Cover,Michael Jackson,
Down With Disease,Cover,Phish,
Draggin The Line,Cover,Tommy James,
Dream A Little Dream,Cover,The Mamas & The Papas,
Dupree's Diamond Blues,Cover,Grateful Dead,
El Paso,Cover,Grateful Dead,
Energy,Original,LoveDeep,
Eyes Of The World,Cover,Grateful Dead,
